License_Fiscal_Year_License_Num,Business_Name,Street_Address,City,State,Zip,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Status,License_Status_Description,Council_District_Code,Council_District_Description,Location_1,FID
,UGLY MUGS CAFE & CULTURE,102 N MAIN ST,SOUTH BEND,IN,46601,(574) 863-0352,RESTZ,RESTAURANTS N-Z,2009-03-31T04:00:00.000Z,2008-12-29T05:00:00.000Z,2008,RN,Renewed,,,"102 N MAIN ST
SOUTH BEND, IN 46601
(41.676459, -86.25198)",14092
,MUESSEL PRIMARY SCHOOL,1021 BLAINE AVE,SOUTH BEND,IN,46616,(574) 283-7809,RESTAM,RESTAURANTS A-M,2012-02-28T05:00:00.000Z,2011-05-27T04:00:00.000Z,2011,RN,Renewed,SB1,COUNCIL DISTRICT 1,"1021 BLAINE AVE
SOUTH BEND, IN 46616
(41.688118, -86.267421)",14093
,SHANNON LIN PAPP,59851 MYRTLE RD,SOUTH BEND,IN,46614,(574) 288-0792,MSGTEC,MASSAGE THERAPY,2006-01-31T05:00:00.000Z,2005-11-30T05:00:00.000Z,2005,RN,Renewed,,,"59851 MYRTLE RD
SOUTH BEND, IN 46614
(41.623607, -86.306804)",14094
,I & M HEATING/JEFF'S APPLIANCE,1628 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 288-3351,SECOND,SECOND HAND DEALERS,2009-01-31T05:00:00.000Z,2008-01-21T05:00:00.000Z,2008,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1628 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.657272, -86.249916)",14095
,1117 N. ST LOUIS BLVD,1117 N SAINT LOUIS BLVD,SOUTH BEND,IN,46617,(574) 234-4923,LPARKO,LAWN PARK 10 OR MORE SPACES,2008-10-04T04:00:00.000Z,2008-09-29T04:00:00.000Z,2008,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1117 N SAINT LOUIS BLVD
SOUTH BEND, IN 46617
(41.690409, -86.240945)",14096
,"HARTSOCK, CARL W",1101 E BRONSON ST,SOUTH BEND,IN,46615,(574) 315-4312,TAXID,TAXI DRIVER,2014-10-01T04:00:00.000Z,2013-09-24T04:00:00.000Z,2013,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1101 E BRONSON ST
SOUTH BEND, IN 46615
(41.668957, -86.234539)",14097
,TACO BELL #2160 - DON'T USE,3208 LINCOLN WAY W,SOUTH BEND,IN,46628-1451,(574) 234-2349,RESTZ,RESTAURANTS N-Z,2007-03-31T04:00:00.000Z,2006-06-08T04:00:00.000Z,2006,RN,Renewed,,,"3208 LINCOLN WAY W
SOUTH BEND, IN 46628-1451
(41.691273, -86.293801)",14098
,"GREEN, RANDLE K",2010 KEMBLE AVE,SOUTH BEND,IN,46613,(574) 307-6671,TAXID,TAXI DRIVER,2005-06-01T04:00:00.000Z,2004-05-21T04:00:00.000Z,2004,RN,Renewed,SB6,COUNCIL DISTRICT 6,"2010 KEMBLE AVE
SOUTH BEND, IN 46613
(41.652873, -86.263548)",14099
,"BLUE HERON, INC",5440 NIMTZ PKWY,SOUTH BEND,IN,46628-6115,(574) 233-3091,RESTAM,RESTAURANTS A-M,2008-02-28T05:00:00.000Z,2007-02-28T05:00:00.000Z,2007,RN,Renewed,,,"5440 NIMTZ PKWY
SOUTH BEND, IN 46628-6115
(41.728421, -86.324876)",14100
,VALLEY TRANSMISSION,702 COLLEGE ST,SOUTH BEND,IN,46628,(574) 233-5894,AUTO,AUTOMOTIVE REPAIR & SVC,2009-01-31T05:00:00.000Z,2008-02-13T05:00:00.000Z,2008,RN,Renewed,SB2,COUNCIL DISTRICT 2,"702 COLLEGE ST
SOUTH BEND, IN 46628
(41.684155, -86.275878)",14101
,"TROTTER, LEVI JR",3928 EASTMONT DR,SOUTH BEND,IN,46628,(574) 277-0384,TAXID,TAXI DRIVER,2008-06-01T04:00:00.000Z,2007-05-10T04:00:00.000Z,2007,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"3928 EASTMONT DR
SOUTH BEND, IN 46628
(41.72888, -86.270264)",14102
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICAB,TAXI VEHICLE,2009-06-01T04:00:00.000Z,2008-05-22T04:00:00.000Z,2008,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",14103
,JERSEY MIKE'S SUBS,111 S SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 246-0136,RESTAM,RESTAURANTS A-M,2007-02-28T05:00:00.000Z,2006-04-18T04:00:00.000Z,2006,RN,Renewed,SB2,COUNCIL DISTRICT 2,"111 S SAINT JOSEPH ST
SOUTH BEND, IN 46601
(41.675906, -86.248792)",14104
,BROADWAY CHRISTIAN PARISH,1412 CARROLL ST,SOUTH BEND,IN,46613,(574) 289-0333,RESTAM,RESTAURANTS A-M,2008-02-28T05:00:00.000Z,2007-04-03T04:00:00.000Z,2007,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1412 CARROLL ST
SOUTH BEND, IN 46613
(41.659835, -86.246134)",14105
,110 E ANGELA BLVD,110 E ANGELA BLVD,SOUTH BEND,IN,46617,(612) 804-9902,LPARKU,LAWN PARK UNDER 10 SPACES,2007-11-04T04:00:00.000Z,2007-11-02T04:00:00.000Z,2007,RN,Renewed,SB4,COUNCIL DISTRICT 4,"110 E ANGELA BLVD
SOUTH BEND, IN 46617
(41.694141, -86.249404)",14106
,CIAO'S ITALIAN BAKERY,123 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 289-2426,RESTAM,RESTAURANTS A-M,2008-02-28T05:00:00.000Z,2007-04-10T04:00:00.000Z,2007,RN,Renewed,SB2,COUNCIL DISTRICT 2,"123 N MICHIGAN ST
SOUTH BEND, IN 46601
(41.676696, -86.250378)",14107
,HACIENDA MEXICAN RESTAURANT,4650 MIAMI ST,SOUTH BEND,IN,46614,(574) 291-2566,RESTAM,RESTAURANTS A-M,2009-02-28T05:00:00.000Z,2008-03-06T05:00:00.000Z,2008,RN,Renewed,SB5,COUNCIL DISTRICT 5,"4650 MIAMI ST
SOUTH BEND, IN 46614
(41.62762, -86.234712)",14108
,J J FISH-DO NOT USE,2324 LINCOLN WAY W,SOUTH BEND,IN,46628-2516,(574) 234-3660,RESTAM,RESTAURANTS A-M,2008-02-28T05:00:00.000Z,2007-03-08T05:00:00.000Z,2007,RN,Renewed,,,"2324 LINCOLN WAY W
SOUTH BEND, IN 46628-2516
(41.688137, -86.283294)",14109
,"EAGLE TRANSPORTATION SERVICES,",1843 COMMERCE DR,SOUTH BEND,IN,,(574) 287-6666,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-04T04:00:00.000Z,2015,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.699999830000024, -86.30750750999994)",14110
,"LINE DESIGNS OF INDIANA, INC",2408 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 233-4191,AUTO,AUTOMOTIVE REPAIR & SVC,2010-01-31T05:00:00.000Z,2009-03-02T05:00:00.000Z,2009,RN,Renewed,SB5,COUNCIL DISTRICT 5,"2408 S MICHIGAN ST
SOUTH BEND, IN 46614
(41.649359, -86.249702)",14111
,ANGELOS FAMILY RESTAURANT,4301 S MICHIGAN ST,SOUTH BEND,IN,46614,(574) 299-9614,RESTAM,RESTAURANTS A-M,2008-02-28T05:00:00.000Z,2007-03-01T05:00:00.000Z,2007,RN,Renewed,SB5,COUNCIL DISTRICT 5,"4301 S MICHIGAN ST
SOUTH BEND, IN 46614
(41.63085, -86.250875)",14112
,1216 WHITE OAK DR,1216 WHITE OAK DR,SOUTH BEND,IN,46617,(574) 233-9168,LPARKU,LAWN PARK UNDER 10 SPACES,2008-09-06T04:00:00.000Z,2008-09-04T04:00:00.000Z,2008,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1216 WHITE OAK DR
SOUTH BEND, IN 46617
(41.691486, -86.224287)",14113
,VELDMAN'S SERVICE CENTER,5316 W WESTERN AVE,SOUTH BEND,IN,46614,(574) 287-7236,RESTZ,RESTAURANTS N-Z,2009-03-31T04:00:00.000Z,2008-06-17T04:00:00.000Z,2008,RN,Renewed,SB6,COUNCIL DISTRICT 6,"5316 W WESTERN AVE
SOUTH BEND, IN 46614
(41.671813, -86.321397)",14114
,1100 BURNS ST,1117 BURNS AVE,SOUTH BEND,IN,46617,(574) 233-7457,LPARKO,LAWN PARK 10 OR MORE SPACES,2008-11-01T04:00:00.000Z,2008-09-11T04:00:00.000Z,2008,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1117 BURNS AVE
SOUTH BEND, IN 46617
(41.690462, -86.2333)",14115
,LACOPOS PIZZERIA,3004 ARDMORE TRL,SOUTH BEND,IN,46628-1927,(574) 233-5331,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-02-12T05:00:00.000Z,2009,RN,Renewed,SB2,COUNCIL DISTRICT 2,"3004 ARDMORE TRL
SOUTH BEND, IN 46628-1927
(41.690408, -86.291458)",14116
,"GARZA, FRANCISCO G",1516 MARIGOLD WAY,SOUTH BEND,IN,46617,(574) 298-3396,TAXID,TAXI DRIVER,2005-06-01T04:00:00.000Z,2004-06-01T04:00:00.000Z,2004,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1516 MARIGOLD WAY
SOUTH BEND, IN 46617
(41.694971, -86.261072)",14117
,1939 CHARLES ST,1939 CHARLES ST,SOUTH BEND,IN,46637,(574) 532-8870,LPARKO,LAWN PARK 10 OR MORE SPACES,2008-10-24T04:00:00.000Z,2007-10-24T04:00:00.000Z,2007,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1939 CHARLES ST
SOUTH BEND, IN 46637
(41.696886, -86.219432)",14118
,MOONDOG'S PUB,4407 S IRONWOOD DR,SOUTH BEND,IN,46614,(574) 291-6544,RESTAM,RESTAURANTS A-M,2009-02-28T05:00:00.000Z,2008-04-07T04:00:00.000Z,2008,RN,Renewed,SB5,COUNCIL DISTRICT 5,"4407 S IRONWOOD DR
SOUTH BEND, IN 46614
(41.629029, -86.215568)",14119
,AKESMA LANDERS,613 NAPOLEON ST,SOUTH BEND,IN,46615,(574) 298-5397,LPARKO,LAWN PARK 10 OR MORE SPACES,2007-10-20T04:00:00.000Z,2007-10-18T04:00:00.000Z,2007,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"613 NAPOLEON ST
SOUTH BEND, IN 46615
(41.691164, -86.24185)",14120
,BLUE RIBBON TAXI CORPORATION,1843 COMMERCE DR,SOUTH BEND,IN,,(574) 233-4040,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-10T04:00:00.000Z,2015,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.699999830000024, -86.30750750999994)",14121
,PET SUPPLIES PLUS,2202 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 273-2292,PETS,PET SHOPS,2006-01-31T05:00:00.000Z,2005-12-01T05:00:00.000Z,2005,RN,Renewed,SB4,COUNCIL DISTRICT 4,"2202 SOUTH BEND AVE
SOUTH BEND, IN 46637
(41.699728, -86.216799)",14122
,515 PEASHWAY ST,515 PEASHWAY ST,SOUTH BEND,IN,46617,(574) 340-3953,LPARKU,LAWN PARK UNDER 10 SPACES,2007-11-04T04:00:00.000Z,2007-10-29T04:00:00.000Z,2007,RN,Renewed,SB4,COUNCIL DISTRICT 4,"515 PEASHWAY ST
SOUTH BEND, IN 46617
(41.692062, -86.243379)",14123
,SOUTH BEND CHOCOLATE CO.,3300 W SAMPLE ST,SOUTH BEND,IN,46619,(574) 233-2577,RESTZ,RESTAURANTS N-Z,2011-03-31T04:00:00.000Z,2010-04-15T04:00:00.000Z,2010,RN,Renewed,SB6,COUNCIL DISTRICT 6,"3300 W SAMPLE ST
SOUTH BEND, IN 46619
(41.664704, -86.295545)",14124
,SMOKIN ADDIES,501 LINCOLN WAY W,SOUTH BEND,IN,46601,(574) 287-4464,RESTZ,RESTAURANTS N-Z,2010-03-31T04:00:00.000Z,2009-04-14T04:00:00.000Z,2009,RN,Renewed,,,"501 LINCOLN WAY W
SOUTH BEND, IN 46601
(41.680303, -86.257713)",14125
,BURTON'S LAUNDRY,1355 N BENDIX DR,SOUTH BEND,IN,46628,(574) 255-6101,SSLAUN,SELF SERVICE LAUNDRY,2006-01-31T05:00:00.000Z,2005-12-14T05:00:00.000Z,2005,RN,Renewed,SB1,COUNCIL DISTRICT 1,"1355 N BENDIX DR
SOUTH BEND, IN 46628
(41.692689, -86.293413)",14126
,"ZOLMAN TIRE, INC",406 E MONROE ST,SOUTH BEND,IN,46601,(574) 287-1657,AUTO,AUTOMOTIVE REPAIR & SVC,2008-01-31T05:00:00.000Z,2007-01-16T05:00:00.000Z,2007,RN,Renewed,SB2,COUNCIL DISTRICT 2,"406 E MONROE ST
SOUTH BEND, IN 46601
(41.670978, -86.245454)",14127
,SAYLOR'S PIZZA,1725 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-5935,RESTZ,RESTAURANTS N-Z,2009-03-31T04:00:00.000Z,2008-05-05T04:00:00.000Z,2008,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1725 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.656121, -86.249886)",14128
,DAVE'S GARAGE,2900 S MAIN ST,SOUTH BEND,IN,46614,(574) 291-4561,AUTO,AUTOMOTIVE REPAIR & SVC,2010-01-31T05:00:00.000Z,2009-03-16T04:00:00.000Z,2009,RN,Renewed,SB5,COUNCIL DISTRICT 5,"2900 S MAIN ST
SOUTH BEND, IN 46614
(41.643868, -86.251219)",14129
,PIZZA HUT - DONT USE,5113 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 234-5155,RESTZ,RESTAURANTS N-Z,2008-03-31T04:00:00.000Z,2007-04-12T04:00:00.000Z,2007,RN,Renewed,SB2,COUNCIL DISTRICT 2,"5113 W WESTERN AVE
SOUTH BEND, IN 46619
(41.67197, -86.319462)",14130
,"JENKS, DENNIS L",333 N MAIN ST,SOUTH BEND,IN,46601,(906) 322-2777,TAXID,TAXI DRIVER,2009-06-01T04:00:00.000Z,2008-05-30T04:00:00.000Z,2008,AC,Active and Licensed,SB2,COUNCIL DISTRICT 2,"333 N MAIN ST
SOUTH BEND, IN 46601
(41.67951, -86.252043)",14131
,GOLDEN DOME CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 250-4653,TAXICAB,TAXI VEHICLE,2011-06-01T04:00:00.000Z,2010-05-19T04:00:00.000Z,2010,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",14132
,CLASSIC BOUTIQUE,1636 LINCOLN WAY W,SOUTH BEND,IN,46628,(574) 232-6360,SECOND,SECOND HAND DEALERS,2007-01-31T05:00:00.000Z,2006-06-14T04:00:00.000Z,2006,RN,Renewed,,,"1636 LINCOLN WAY W
SOUTH BEND, IN 46628
(41.685823, -86.27532)",14133
,TAQUERIA CHICAGO,2920 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 234-6775,RESTZ,RESTAURANTS N-Z,2007-03-31T04:00:00.000Z,2006-04-12T04:00:00.000Z,2006,RN,Renewed,SB6,COUNCIL DISTRICT 6,"2920 W WESTERN AVE
SOUTH BEND, IN 46619
(41.671998, -86.29086)",14134
,AMPCO SYSTEM PARKING,111 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 232-3843,PARK,PUBLIC PARKING FACILITY,2009-01-31T05:00:00.000Z,2008-04-15T04:00:00.000Z,2008,RN,Renewed,SB2,COUNCIL DISTRICT 2,"111 S MICHIGAN ST
SOUTH BEND, IN 46601
(41.676085, -86.25036)",14135
,AMPCO SYSTEM PARKING - DONT US,225 S MAIN ST,SOUTH BEND,IN,46601,(574) 232-3843,PARK,PUBLIC PARKING FACILITY,2010-01-31T05:00:00.000Z,2009-06-12T04:00:00.000Z,2009,RN,Renewed,SB2,COUNCIL DISTRICT 2,"225 S MAIN ST
SOUTH BEND, IN 46601
(41.67416, -86.251948)",14136
,KNIGHTS OF COLUMBUS #5570,5202 LINDEN AVE,SOUTH BEND,IN,46628,(574) 233-9717,RESTAM,RESTAURANTS A-M,2011-02-28T05:00:00.000Z,2010-05-12T04:00:00.000Z,2010,RN,Renewed,SB2,COUNCIL DISTRICT 2,"5202 LINDEN AVE
SOUTH BEND, IN 46628
(41.679058, -86.32019)",14137
,"ARBORCARE, INC",100 N CENTER ST,MISHAWAKA,IN,46544,(574) 255-7173,ARBOR,ARBORIST/TREE SERVICE,2009-01-31T05:00:00.000Z,2008-09-02T04:00:00.000Z,2008,IN,Incative and no longer licensed,,,"100 N CENTER ST
MISHAWAKA, IN 46544
(41.661462, -86.189319)",14138
,JO FETTER,1411 BERKSHIRE DR,SOUTH BEND,IN,46614,(574) 291-2189,PEDDLR,PEDDLER & CANVASSER,2008-01-31T05:00:00.000Z,2007-02-07T05:00:00.000Z,2007,RN,Renewed,SB5,COUNCIL DISTRICT 5,"1411 BERKSHIRE DR
SOUTH BEND, IN 46614
(41.61548, -86.227948)",14139
,TRIO'S RESTAURANT & JAZZ CLUB,129 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 288-8746,RESTZ,RESTAURANTS N-Z,2008-03-31T04:00:00.000Z,2007-11-26T05:00:00.000Z,2007,RN,Renewed,SB2,COUNCIL DISTRICT 2,"129 N MICHIGAN ST
SOUTH BEND, IN 46601
(41.67743, -86.250403)",14140
,"YELLOW CAB OF MICHIANA, INC",1814 S MAIN ST,SOUTH BEND,IN,46613,(574) 233-9333,TAXICAB,TAXI VEHICLE,2007-06-01T04:00:00.000Z,2006-09-07T04:00:00.000Z,2006,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1814 S MAIN ST
SOUTH BEND, IN 46613
(41.65494, -86.251447)",14141
,"MWANIKI, JOHN K",3429 BRIGHTON PL,SOUTH BEND,IN,46615,(574) 246-9007,TAXID,TAXI DRIVER,2005-06-01T04:00:00.000Z,2004-05-06T04:00:00.000Z,2004,IR,In Review,SB4,COUNCIL DISTRICT 4,"3429 BRIGHTON PL
SOUTH BEND, IN 46615
(41.685813, -86.199207)",14142
,EXPRESS & ABC CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,46613,(574) 233-6000,TAXICAB,TAXI VEHICLE,2009-06-01T04:00:00.000Z,2008-05-13T04:00:00.000Z,2008,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.655922, -86.24988)",14143
,1025 N. TWYCKENHAM DR,1025 N TWYCKENHAM DR,SOUTH BEND,IN,46617,(574) 232-0496,LPARKU,LAWN PARK UNDER 10 SPACES,2011-11-19T05:00:00.000Z,2011-08-30T04:00:00.000Z,2011,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1025 N TWYCKENHAM DR
SOUTH BEND, IN 46617
(41.689213, -86.225922)",14144
,NOMA RESTAURANT,119 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 274-7450,RESTAM,RESTAURANTS A-M,2011-02-28T05:00:00.000Z,2010-05-13T04:00:00.000Z,2010,RN,Renewed,SB2,COUNCIL DISTRICT 2,"119 N MICHIGAN ST
SOUTH BEND, IN 46601
(41.677133, -86.250393)",14145
,ANCHOR INN,2224 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 237-9147,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-03-12T04:00:00.000Z,2009,RN,Renewed,SB6,COUNCIL DISTRICT 6,"2224 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672106, -86.282082)",14146
,1927 OAK PARK DR,1927 OAK PARK DR,SOUTH BEND,IN,46617,(574) 383-4243,LPARKU,LAWN PARK UNDER 10 SPACES,2007-10-21T04:00:00.000Z,2007-10-19T04:00:00.000Z,2007,AC,Active and Licensed,,,"1927 OAK PARK DR
SOUTH BEND, IN 46617
(41.693463, -86.218931)",14147
,RESIDENCE INN,716 N NILES AVE,SOUTH BEND,IN,46617,(574) 289-5555,HOTEL,HOTEL/MOTEL,2010-01-31T05:00:00.000Z,2009-05-13T04:00:00.000Z,2009,RN,Renewed,SB4,COUNCIL DISTRICT 4,"716 N NILES AVE
SOUTH BEND, IN 46617
(41.685705, -86.24571)",14148
,7-ELEVEN #18316,1827 MIAMI ST,SOUTH BEND,IN,46613,(574) 232-0707,RESTZ,RESTAURANTS N-Z,2007-03-31T04:00:00.000Z,2006-05-17T04:00:00.000Z,2006,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1827 MIAMI ST
SOUTH BEND, IN 46613
(41.65507, -86.234948)",14149
,1025 N. TWYCKENHAM DR,1025 N TWYCKENHAM DR,SOUTH BEND,IN,46617,(574) 232-0496,LPARKU,LAWN PARK UNDER 10 SPACES,2008-10-11T04:00:00.000Z,2007-10-18T04:00:00.000Z,2007,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1025 N TWYCKENHAM DR
SOUTH BEND, IN 46617
(41.689213, -86.225922)",14150
,CAPTAIN SEAFOOD,1107 LINCOLN WAY W,SOUTH BEND,IN,46616,(574) 232-4915,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-12-01T05:00:00.000Z,2009,RN,Renewed,,,"1107 LINCOLN WAY W
SOUTH BEND, IN 46616
(41.68317, -86.266497)",14151
,LA MAREA BAR,3401 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 329-2055,RESTAM,RESTAURANTS A-M,2007-02-28T05:00:00.000Z,2006-03-27T05:00:00.000Z,2006,RN,Renewed,SB2,COUNCIL DISTRICT 2,"3401 W WESTERN AVE
SOUTH BEND, IN 46619
(41.671962, -86.296219)",14152
,"HOFFMAN, ROBERT R",1441 E DONALD ST,SOUTH BEND,IN,46613,(574) 286-1194,TAXID,TAXI DRIVER,2005-06-01T04:00:00.000Z,2004-06-25T04:00:00.000Z,2004,IR,In Review,SB3,COUNCIL DISTRICT 3,"1441 E DONALD ST
SOUTH BEND, IN 46613
(41.653026, -86.226129)",14153
,DC TIRE & AUTO,2623 LINCOLN WAY W,SOUTH BEND,IN,46628-1937,(574) 234-8473,AUTO,AUTOMOTIVE REPAIR & SVC,2007-01-31T05:00:00.000Z,2006-03-06T05:00:00.000Z,2006,RN,Renewed,,,"2623 LINCOLN WAY W
SOUTH BEND, IN 46628-1937
(41.689225, -86.286938)",14154
,KFC,3924 PORTAGE AVE,SOUTH BEND,IN,46628,(269) 683-8666,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-07-21T04:00:00.000Z,2009,RN,Renewed,,,"3924 PORTAGE AVE
SOUTH BEND, IN 46628
(41.728892, -86.289896)",14155
,ABC CAB & COURIER EXPRESS CAB,1733 S MICHIGAN ST,SOUTH BEND,IN,,(574) 233-6000,TAXICAB,TAXI VEHICLE,2015-10-01T04:00:00.000Z,2014-09-11T04:00:00.000Z,2015,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1733 S MICHIGAN ST
SOUTH BEND, IN 46613
(41.65644480900005, -86.24989745499994)",14156
,ARBY'S ROAST BEEF #1157,3425 LINCOLN WAY W,SOUTH BEND,IN,46628-1454,(574) 233-5592,RESTAM,RESTAURANTS A-M,2007-02-28T05:00:00.000Z,2006-04-18T04:00:00.000Z,2006,RN,Renewed,,,"3425 LINCOLN WAY W
SOUTH BEND, IN 46628-1454
(41.69263, -86.298173)",14157
,"O'NEAL, MICHAEL E",1301 N MICHIGAN ST,SOUTH BEND,IN,46619,(574) 386-5508,TAXID,TAXI DRIVER,2009-06-01T04:00:00.000Z,2008-05-06T04:00:00.000Z,2008,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1301 N MICHIGAN ST
SOUTH BEND, IN 46619
(41.692478, -86.250692)",14158
,"SUMMER SONG, INC",56565 PINE RD,SOUTH BEND,IN,46619,(574) 233-0010,FVV,FOOD VENDING VEHICLES,2006-01-31T05:00:00.000Z,2005-11-29T05:00:00.000Z,2005,RN,Renewed,,,"56565 PINE RD
SOUTH BEND, IN 46619
(41.670921, -86.350995)",14159
,POMP'S TIRE SERVICE,4207 N MAYFLOWER RD,SOUTH BEND,IN,46628,(574) 271-3850,AUTO,AUTOMOTIVE REPAIR & SVC,2009-01-31T05:00:00.000Z,2008-07-18T04:00:00.000Z,2008,VO,Voided,SB1,COUNCIL DISTRICT 1,"4207 N MAYFLOWER RD
SOUTH BEND, IN 46628
(41.734235, -86.323187)",14160
,AMPCO SYSTEM PARKING,111 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 232-3843,PARK,PUBLIC PARKING FACILITY,2006-01-31T05:00:00.000Z,2005-12-01T05:00:00.000Z,2005,RN,Renewed,SB2,COUNCIL DISTRICT 2,"111 S MICHIGAN ST
SOUTH BEND, IN 46601
(41.676085, -86.25036)",14161
,"MUHUHA, SAMUEL N",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,,(000) 000-0000,TAXID,TAXI DRIVER,2015-10-01T04:00:00.000Z,2014-09-12T04:00:00.000Z,2015,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
(41.67277586800003, -86.25337886399996)",14162
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICAB,TAXI VEHICLE,2007-06-01T04:00:00.000Z,2006-08-30T04:00:00.000Z,2006,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",14163
,GREATER ST JOHN MISSIONARY,101 N ADAMS ST,SOUTH BEND,IN,46628,(574) 232-6700,RESTAM,RESTAURANTS A-M,2007-02-28T05:00:00.000Z,2006-02-20T05:00:00.000Z,2006,IN,Incative and no longer licensed,SB2,COUNCIL DISTRICT 2,"101 N ADAMS ST
SOUTH BEND, IN 46628
(41.676907, -86.274627)",14164
,"SINGH, PIARA",710 N SAINT JOSEPH ST,SOUTH BEND,IN,46614,(000) 000-0000,TAXID,TAXI DRIVER,2008-06-01T04:00:00.000Z,2007-05-25T04:00:00.000Z,2007,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"710 N SAINT JOSEPH ST
SOUTH BEND, IN 46614
(41.684607, -86.248941)",14165
,IRISH CAB CO,16400 1/2 CHANDLER BLVD,MISHAWAKA,IN,46544,(574) 239-2222,TAXICAB,TAXI VEHICLE,2007-06-01T04:00:00.000Z,2006-05-11T04:00:00.000Z,2006,AC,Active and Licensed,,,"16400 1 2 CHANDLER BLVD
MISHAWAKA, IN 46544
(41.638261, -86.181434)",14166
,WAL-MART #2680,3701 PORTAGE AVE,SOUTH BEND,IN,46628,(574) 243-4915,RESTZ,RESTAURANTS N-Z,2012-03-31T04:00:00.000Z,2011-03-21T04:00:00.000Z,2011,RN,Renewed,SB1,COUNCIL DISTRICT 1,"3701 PORTAGE AVE
SOUTH BEND, IN 46628
(41.72876, -86.289828)",14167
,THOMAS WERGE,1241 BLACK OAK DR,SOUTH BEND,IN,46617,(574) 234-6733,LPARKU,LAWN PARK UNDER 10 SPACES,2008-11-02T04:00:00.000Z,2008-08-18T04:00:00.000Z,2008,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1241 BLACK OAK DR
SOUTH BEND, IN 46617
(41.691723, -86.222976)",14168
